something,latinname,name,nature and garden,description,water_freq_avg,image,family,avrage height,light preference,soil,flowering,temperature,fertilizer,watering,careinfo
,Schefflera arboricola,Dwarf Umbrella Tree,,"Schefflera is a plant commonly found in houses, apartments and offices. It is appreciated for the beauty of its foliage and its great ease of care.",10,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1575974469659&di=27deee188e27e8e0b106e32753293c15&imgtype=0&src=http%3A%2F%2Fg.hiphotos.baidu.com%2Fbaike%2Fpic%2Fitem%2F14ce36d3d539b6006415c178eb50352ac75cb722.jpg,,"Height – 10 feet (3 meters) indoors, 100 feet (30 meters) in its native environment",Exposure – bright light but no direct sunlight,,summer,,,"Watering is needed when the soil is dry, but not abundantly and preferably with water at room temperature.",
,Crassula rogersii,Rattlesnake Plant,,Crassula is an indoor succulent plant family that displays surprising evergreen leafage. It shows up in more and more places for its very trendy ornamental value.,15,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1575974557775&di=400f84db06e7de77831173ae6eb1db00&imgtype=jpg&src=http%3A%2F%2Fimg4.imgtn.bdimg.com%2Fit%2Fu%3D3001926424%2C2163805063%26fm%3D214%26gp%3D0.jpg,Crassulaceae,8 inches (20 cm),"Exposure – well-lit,It requires a lot of sunlight.",,,,,,
,Crassula obliqua cv. Gollum,Gollum Jade,,"The jade tree, which makes a perfect bonsai plant, is a succulent that offers magnificent evergreen leafage. Its ornamental appeal make it one of today’s trendiest plants.",5,"https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=1405943047,3936188612&fm=26&gp=0.jpg",Family – Crassulaceae,Height – 1 ½ feet (50 cm),Exposure – well-lit,Soil – light,Flowering – summer,,it shows that they need more water.,"If you restrict the watering, you’ll force the roots to delve deeper for moisture, thus making them grow.",Leaves from succulents are loaded with water. If they start collapsing
,Ficus microcarpa,Chinese Banyan,,Ficus ginseng is a superb indoor plant that is much liked for its superb root trunk and its very ornamental foliage.,9,"https://ss0.bdstatic.com/70cFvHSh_Q1YnxGkpoWK1HF6hhy/it/u=1151801957,1035283483&fm=15&gp=0.jpg",Family – Moraceae (mulberry family),"Height – 16 to 40 inches (40 to 100 cm), up to you",Exposure – abundant indirect light,Soil – indoor plant soil mix,well drained,"Ficus ginseng appreciates the warmth that is customary indoors in apartments and houses, ideally from 60 to 75°F (15 to 25°C).",,Watering – moderate,
,Brunfelsia pauciflora,Brazil Raintree,https://www.nature-and-garden.com/gardening/brunfelsia-care-planting-watering.html,"This amazing plant changes the colors of its flowers in three short days, shifting from violet to white. It also bears beautiful evergreen leafage. ",7,https://as1.ftcdn.net/jpg/00/84/86/86/500_F_84868647_gvCPErVaeaad2CEBscsoF26XpF0WfrCB.jpg,Solanaceae or nightshade,20 to 40 inches (50 to 100 cm)," full sun, part sun",rich enough,May to August,"Indeed, this shrub fears freezing, so you’ll have to set it up over the winter in a room where temperatures don’t drop below around 50°F (10°C).",,"It is important to water regularly, with lukewarm water. However, don’t water too much, but water regularly all summer long.",
,Hippeastrum vittatum,Amaryllis,https://www.nature-and-garden.com/gardening/amaryllis.html,"Amaryllis is a bulbous plant that is truly magnificent when it blooms in fall, or winter indoors.",7,https://images.pexels.com/photos/66947/pexels-photo-66947.jpeg?cs=srgb&dl=red-6-petaled-flower-66947.jpg&fm=jpg,Amaryllidaceae,12to24inches(30to60cm),full sun,"soil mix, well-drained",December to May,rather warm if outdoors,,Regular watering and add organic fertilizer upon planting the bulb.,
,Billbergia pyramidalis,Flaming Torch,https://www.nature-and-garden.com/gardening/vriesea.html,"In the?Bromeliaceae?family, the?Vriesea?really stands out. As original, colorful and exotic as its cousins,?Vriesea?is simply an astounding indoor plant.Native to South America, its deep dark green foliage and beautiful orange or red blooming are truly appealing.",7,"http://img0.imgtn.bdimg.com/it/u=2166905020,405453032&fm=26&gp=0.jpg",,12to20inches (30to?50cm),light but without direct light,,end of winter or summer,,,Regular but moderate watering is called for because?Vriesea?doesn’t usually require a lot of water.,
,Anthurium andraeanum,Taliflower,https://www.nature-and-garden.com/gardening/indoor-calla-anthurium.html,"Both plants belong to the?Araceae?family, and share surprising bracts that give color to drab interiors.",3,"http://img5.imgtn.bdimg.com/it/u=3369826792,651467515&fm=26&gp=0.jpg",Araceae,,abundant indirect light,soil mix,,It loves heat (ideal temperature range is 55to75°F (12to25°C)),,"regular watering, twice a week.",
,Clivia nobilis,Green-Tip Forest Lily,https://www.nature-and-garden.com/gardening/amaryllis-planting.html,"Native to Central and South America,?amaryllis?counts over 80?hybrid? species with flowers simple or double, large or average-sized, with varied colors.",7,http://cdn.ipernity.com/200/99/78/38559978.2a3b80c3.640.jpg?r2,," Smaller bulbs will develop one or two stems 12 to 16 inches (30 to 40 cm) tall, while larger bulbs will produce up to five stems more than 20 inches (50 cm) tall.",,"mix of soil mix and garden soil, with a layer of sand or clay pebbles",,"sunlit room where the temperature is mild (70to75°F (21to23°C)), near a radiator eventually.",,,
,Sansevieria trifasciata var. laurentii,,https://www.nature-and-garden.com/gardening/sansevieria.html,"Its leafage is original and elegant and the plant is very resistant, especially to heat. Each variety bestows unique, trendy traits that fashionistas and designers like?Nikki?(photo author, top) can maximize in interior landscaping.",7,"http://img1.imgtn.bdimg.com/it/u=3673368090,2972480921&fm=15&gp=0.jpg",Liliaceae (lily family),1to5feet(0.5-1.5m),"Sansevieria requires good light but fears direct sun that would tend to speed the plant’s dehydration.
Too much sun would indeed quickly desiccate the leafage and it would take on a yellow hue for a long time.",soil mix and sand,March,"The temperature of a house or apartment is perfect, because ideal temperatures range from 65 to 70° F (18 to 21° C) all year round.",,"Watering must be moderate but regular, more or less once a week. Best is to water when the surface of the soil has dried out.",
,Abutilon megapotamicum,Trailing Abutilon,https://www.nature-and-garden.com/gardening/abutilon-care-planting.html,"Abutilons, also called room maples, are very beautiful plants that bloom from spring to fall. Caring for them is easy.",7,"http://img0.imgtn.bdimg.com/it/u=2012199720,3584417446&fm=15&gp=0.jpg",Malvaceae (mallow family), 10 feet (3 meters),full sun,well-drained, April to October,They cannot withstand temperatures below 23°F (-5°C).,,Water in case of extended dry spell and as soon as the soil is dry for potted plants.,
,Begonia argenteo-guttata,Angel Wing Begonia,https://www.nature-and-garden.com/gardening/begonia-maculata-tamaya.html,"Tamaya, also called bamboo begonia and Begonia maculata, is a magnificent indoor plant that offers abundant flowers.",7,http://cdn.ipernity.com/200/00/28/46370028.7bd29185.640.jpg?r2,Begoniaceae, 8 to 16 inches (20 to 40 cm)," full sun, part sun"," rather rich, well drained",May to October,It must have temperatures of at least 60°F (15°C) all year round.,,Tamaya must be watered when the surface of the soil is dry.,
,Dracaena fragrans,Corn Plant,https://www.nature-and-garden.com/gardening/dracaena-massangeana.html,"Dracaena massangeana belongs to the dragon plant family, and its complete scientific name, D. fragrans, hints to its rare amazingly scented blooming.",7,"http://img0.imgtn.bdimg.com/it/u=1964694267,4269546229&fm=15&gp=0.jpg",Agavaceae,3 to 6 ½ feet (1 to 2 meters)," very well-lit, even full sun",soil mix,,"Find a more appropriate location for it, it requires minimum temperatures of 65-66°F (18-19°C) and ideally 70 to 72°F (20 to 22°C).",,"All year long, mist water on the leaves, preferably soft water.",
,Spathiphyllum floribundum,Peace Lily,https://www.nature-and-garden.com/gardening/spathiphyllum-care-watering.html,You’re the proud owner of a Spathiphyllum and you wish to make this marvelous indoor plant last.,7,http://tenmoresteps.com/wp-content/uploads/2015/03/vaginal-sheet-80299_1280.jpg,Araceae, 1 ⅓-3 feet (0.5-1 meter) indoors, well-lit,soil mix,May to October,"The plant will do great in a spot that is a bit cooler, where temperatures hover around 60 to 63°F (16 to 17°C).",,It must be regular but moderate.,
,Ananas comosus,Pineapple Tree,https://www.nature-and-garden.com/gardening/ananas-comosus.html,"Ananas comosus is a plant that bears beautiful leaves, but what makes the plant famous is its fruit: the pineapple.",14,"http://img3.imgtn.bdimg.com/it/u=2485704194,3697458557&fm=26&gp=0.jpg",Bromeliaceae, 12 to 16 inches (30 to 40 cm), very well-lit while avoiding direct sun.,,,Ananas comosus requires temperatures that hover between 64°F to 75°F (18°C to 24°C) and never drop below 57°F (15°C).,,Regular but moderate watering is called for because Ananas comosus doesn’t usually require a lot of water.,
,Euphorbia pulcherrima,Christmas Flower,https://www.nature-and-garden.com/gardening/making-poinsettia-red-again.html,"Poinsettia, or “Christmas star”, invades garden stores like gremlins when the end-of-year feasts come nigh. It owes this to its colored bracts that surround the flowers. Red bracts are most common, but there are cultivars that are pink, salmon orange, yellow, cream, white, mottled, all with bright green leaves in the background.",7,"https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=3080753481,1211567264&fm=15&gp=0.jpg",, six feet (two meters) tall,,, summer,temperature between 60 and 74°F (15 and 23°C),,,
,Hibiscus rosa-sinensis,Rose Mallow,https://www.nature-and-garden.com/gardening/china-rose.html,"China roses, also called Chinese hibiscus or Hawaiian hibiscus, are a symbol of everything exotic.",7,https://images.pexels.com/photos/39517/rose-flower-blossom-bloom-39517.jpeg?cs=srgb&dl=beautiful-flowers-bloom-blossom-39517.jpg&fm=jpg,Malvaceae (mallow family), 1 ⅓ to 5 feet (0.4 to 1.5 meters) (up to 13 feet (4 meters) in their natural environment),,soil mix, March to November,,,Watering once or twice a week should be enough.,
,Hibiscus syriacus var. syriacus f. albus-plenus,Rose of Sharon,https://www.nature-and-garden.com/gardening/hibiscus.html,"Indoor hibiscus, also called China roses, offer magnificent flowers over a long period of time.",7,https://images.pexels.com/photos/56856/hibiscus-blossom-bloom-flower-56856.jpeg?cs=srgb&dl=white-flower-bloom-blossom-56856.jpg&fm=jpg,Malvaceae (mallow family),1 ⅓ to 5 feet (0.4 to 1.5 meters),well-lit,soil mix,March to November,a hibiscus cannot survive temperatures below 40°F (5°C) ,,Watering once or twice a week should be enough.,"Practically the epitome of a flowering plant, hibiscus is very easy to care for, and the following advice helps ensure that the blooming period lasts as long as possible."
,Epipremnum aureum,Golden Pothos,https://www.nature-and-garden.com/gardening/pothos-scindapsus.html,Pothos or scindapsus is a plant native to the tropics with very ornamental leafage.,14,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1576138249724&di=0a30f3c84981dccb9aa28171bb30c18f&imgtype=0&src=http%3A%2F%2Fwww.zhongyiyl.cn%2Fuploads%2Fallimg%2F170612%2F1-1F6120UA4163.jpg,Araceae,6 ½ feet (2 meters),Select a luminous spot but without direct sun and stay away from heat sources such as radiators., indoor plant soil mix,rare as en indoor plant,A temperature of 65 to 75°F (18 to 25°C) is recommended for proper growth.,,"Water the plant only when the surface of the soil is dry, and avoid excess water so as to not suffocate the roots.",Pothos is very easy to grow. It requires very little care and resists quite well to the various diseases.
,Monstera deliciosa,Mexican Breadfruit,https://www.nature-and-garden.com/gardening/monstera-care.html,Monstera is among the favorite plants chosen to decorate houses and apartments.,7,https://images.pexels.com/photos/1407305/pexels-photo-1407305.jpeg?cs=srgb&dl=close-up-photo-of-green-leafed-plant-1407305.jpg&fm=jpg,Araceae,3 to 10 feet (1 to 3 m),The best place to set up your monstera is near a window but not direct sunlight.,soil mix,,Ideal temperatures are around 70°F (20°C).,Add leaf plant liquid fertilizer every 3 to 4 weeks during the growing phase.,Regular but moderate watering is called for.,"Care, repotting, watering and exposure, are items to focus your attention to make your monstera even nicer."
,Plumeria rubra,Nosegay,https://www.nature-and-garden.com/gardening/frangipani.html,Frangipani is a shrub used indoors for its appealing blooming and its great ornamental qualities.,7,https://images.pexels.com/photos/1591246/pexels-photo-1591246.jpeg?cs=srgb&dl=photo-of-yellow-and-white-frangipani-flowers-1591246.jpg&fm=jpg, Apocynceae or dogbane," 5 feet (1.5 meters) indoors, 32 feet (10 meters) in its natural environment", full sun or well-lit,rather rich and well drained,summer, Temperatures must never drop below 50°F (5°C).,,,"Frangipani is easygoing and requires very little care.Indoors, in an apartment, choose a very sunny location, in direct sunlight for the most part of the day."
,Ficus benjamina,Benjamin Fig,https://www.nature-and-garden.com/gardening/ficus-forever.html,The Ficus forever tree is a magnificent indoor plant and it deserves the greatest care that can be provided.,7,http://secure.img1-fg.wfcdn.com/im/94286723/resize-h800-w800%5Ecompr-r85/3813/38131721/Ficus+Silk+Tree+in+Pot.jpg,Moraceae (mulberry family),"10 feet (3 meters) indoors, 100",bright light but no direct sunlight, indoor plant soil mix,,,,Its preferable to wait for the soil to have dried up before watering again.,"Ficus forever is selective as regards its exposure, its watering and must be guarded against rapid changes in temperature."
,Clivia miniata,Natal Lily,https://www.nature-and-garden.com/gardening/clivia-care-watering-disease.html,Clivia is an elegant flower-bearing indoor plant.It makes our houses and apartments look lively with its elevated ornamental impact and its unique flowers.,7,"http://img4.imgtn.bdimg.com/it/u=1458042200,1753656464&fm=26&gp=0.jpg", Amaryllidaceae,16 to 24 inches (0.4 to 0.6 meters), well-lit or part shade,soil mix,spring,Ideal temperatures are around 70°F (20°C).,flower plant liquid fertilizer every 8 to 15 days,"Regular but moderate watering is called for.All year long and especially during summer, spray water on the leaves to recreate the moisture levels of its natural habitat.",Remove wilted flowers regularly by snipping off the floral scape at the base.
,Strelitzia nicolai,Wild Banana Plant,https://www.nature-and-garden.com/gardening/aechmea.html,"As original, colorful and exotic as its cousins are, Aechmea is a simply astounding indoor plant of the vast Bromeliaceae family.Native to Central and South America, one finds its mottled foliage and beautiful pastel red blooming appealing.",7,"http://img1.imgtn.bdimg.com/it/u=57460221,3701955286&fm=15&gp=0.jpg", Bromeliaceae,12 to 20 inches (30 to 50 cm),light but without direct light,soil mix,end of winter or summer,temperatures that oscillate between 65 and 74°F (18 to 24°C),orchid-specific fertilizer more or less once a month,Watering 1 time a week is often practiced.,
,Stromanthe sanguinea,Tricolor Plant,https://www.nature-and-garden.com/gardening/billbergia.html,Billbergia is a plant often grown indoors in cooler climates that is simply beautiful.,2,"https://ss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=1988092923,1051686982&fm=15&gp=0.jpg",Bromeliaceae, 12 to 16 inches (30 to 40 cm),Exposure – light but without direct light,,Flowering – end of winter or summer,Billbergia requires temperatures that oscillate between 65 and 74°F (18 to 24°C) and never drop below 57°F (-13°C).,,Regular but moderate watering is called for because Billbergia doesn’t usually require a lot of water.,Spraying the plant regularly and placing the pot atop a bed of wet gravel will help re-create the plant’s natural habitat.
,Pilea peperomioides,Chinese Money Plant,https://www.nature-and-garden.com/gardening/pilea.html,"Pilea peperomioides, also called “Chinese money plant”, is a very ornamental plant which is ideal in designer settings.",3,"https://ss0.bdstatic.com/70cFuHSh_Q1YnxGkpoWK1HF6hhy/it/u=2682634879,2455534465&fm=15&gp=0.jpg",Urticaceae,Height – 12 inches (30 cm),Exposure – well-lit,"Soil – light, well-drained",,Pilea shouldn’t normally survive temperatures lower than 50°F (10°C) in winter.,,,"Pinch the terminal stem (the topmost one) between 2 fingernails to force the plant to start branching out. If you wish for the plant to keep a bushy bearing and grow as many branches as can be, simply keep pinching young shoots off after a bud."
,Caladium bicolor,Angel Wings Plant,https://www.nature-and-garden.com/gardening/caladium.html,"A very fragile plant that is difficult to grow, Caladium makes our houses and apartments look lively with its elevated ornamental impact and unique foliage.",7,https://images.pexels.com/photos/1403404/pexels-photo-1403404.jpeg?cs=srgb&dl=close-up-photo-of-pink-and-green-caladium-plants-1403404.jpg&fm=jpg,Araceae,"Height – 36 to 40 inches (0.8 to 1 meter) indoors, 13 feet (4 meters) in its natural habitat",Exposure – Very well-lit,Soil – soil mix,,Ideal temperatures are around 68 to 70° F (20 to 21° C).,,Caladium is a greenhouse plant that appreciates heat and moisture. Regular but moderate watering is thus called for.,Remove damaged leaves regularly by snipping them off at the base.
,Iresine herbstii,Chicken Gizzard Plant,https://www.nature-and-garden.com/gardening/peperomia.html,"Peperomia is a tropical plant used indoors and in apartments. It is very much appreciated for its foliage, which is extremely varied depending to the species and in every case amazingly ornamental.",7,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1576078160726&di=3d47857c6066ce919cc6772f033ae8a8&imgtype=0&src=http%3A%2F%2Fwww.ritagiang.com%2Ffiles%2FarticleFilesfinder%2Fimages%2FP1100289-1.jpg,Piperaceae,Height – 10 inches (25 cm),Exposure – well-lit,Soil – well-drained,Flowering – June to August,Temperatures mustn’t drop below 55 to 57°F (12 to 13°C).,,Water lightly and only when the soil is really dry.,"Only eliminate leaves if they’ve withered, dried up or turned yellow"
,Phoenix loureiroi,Mountain Date Palm,https://www.nature-and-garden.com/gardening/pygmy-date-palm-phoenix.html,"Pygmy date palm or Phoenix roebelenii is a palm tree, often grown indoors, that bears thin, elegant green leaves.",3,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1576672998&di=887dd7dabf178bd72398c0aa5c162d58&imgtype=jpg&er=1&src=http%3A%2F%2Fpreview.free3d.com%2Fimg%2F2011%2F10%2F1688651805682042733%2Fakrrd8gf-900.jpg,Arecaceae,,"Exposure – well-lit, part sun",Soil – soil mix,,"It grows best when surrounding temperatures hold at around 70 to 72°F (20 to 22°C) and requires very good light, even direct sunlight.",,,
,Calathea makoyana,Peacock Plant,nature-and-garden.com/gardening/calathea-care-watering-disease.html,Calathea is a magnificent plant native to South America.,3,"https://ss1.bdstatic.com/70cFvXSh_Q1YnxGkpoWK1HF6hhy/it/u=1608430115,1802481806&fm=15&gp=0.jpg",Marantaceae,Height – 36 to 40 inches (0.8 to 1 meter) indoors,Exposure – light shade,Soil – soil mix,,Ideal temperatures are around 70°F (20°C).,,,Remove wilted leaves regularly.
,Pachira aquatica,Malabar Chestnut Tree,https://www.nature-and-garden.com/gardening/pachira.html,"Pachira is an incredible indoor plant, with rather modern appeal.",5,http://gss0.baidu.com/9vo3dSag_xI4khGko9WTAnF6hhy/zhidao/pic/item/377adab44aed2e7312ead9038a01a18b87d6fa9a.jpg,Bombacaceae,Height –32 to 64 feet (10 to 20 m) in its natural environment,Exposure – abundant indirect light,Soil – soil mix,Flowering – January to December,"In winter, the plant fares well at the temperature of an unheated lean-in in winter, provided it doesn’t drop below 40°F (5°C).",,,Don’t add any fertilizer during the dormant state from October to March.
